date,MSFT,AAPL,CSCO,ORCL,GOOGL
2005-08-22,0.007111,0.000873,-0.007295,0.00153,-0.021393
2005-08-23,-0.001486,-0.002834,0.003957,0.000764,0.020328
2005-08-24,-0.002233,0.000656,-0.013514,-0.01145,0.010695
2005-08-25,0.008206,0.006336,-0.002283,0.001544,7.1e-05
2005-08-26,-0.00222,-0.006947,-0.004577,-0.005397,0.003503
2005-08-29,0.006674,0.002186,0.013793,0.013954,0.017173
2005-08-30,0.001105,0.015925,-0.00737,-0.003823,-0.004091
2005-08-31,0.007358,0.006871,0.006282,-0.00307,-0.004421
2005-09-01,-0.006574,-0.013436,0.001703,0.024634,0.000874
2005-09-02,-0.006618,-0.000865,0.003966,0.006011,0.007686
2005-09-06,-0.00074,0.05582,0.027088,0.012696,-0.004646
2005-09-07,-0.005556,-0.002459,0.010989,-0.011062,0.027028
2005-09-08,-0.008939,0.022597,-0.00163,-0.002983,0.001764
2005-09-09,-0.001127,0.030735,0.011432,-0.006732,0.012526
2005-09-12,0.001129,0.001754,-0.005382,0.015813,0.035608
2005-09-13,-0.004885,-0.011284,-0.012446,0.011119,0.006263
2005-09-14,-0.00642,-0.02381,-0.022466,-0.014663,-0.027849
2005-09-15,-0.00152,0.005241,0.01065,-0.005208,-0.001254
2005-09-16,-0.007613,0.02687,0.021631,-0.008975,-0.007997
2005-09-19,-0.002685,0.027924,-0.013572,0.003019,0.011959
2005-09-20,-0.006154,0.010448,-0.011007,0.008277,0.013562
2005-09-21,-0.013545,-0.020305,-0.006678,-0.008209,0.012958
2005-09-22,-0.005885,-0.00403,0.014566,0.017306,-0.001699
2005-09-23,-0.002762,0.025048,-0.003313,-0.079142,0.012814
2005-09-26,0.0,0.01203,-0.007202,-0.004016,-0.003425
2005-09-27,0.00277,-0.007429,-0.011161,-0.005645,-0.001082
2005-09-28,0.013023,-0.044162,0.011287,-0.011354,-0.025292
2005-09-29,0.010518,0.024667,-0.003348,0.010665,0.01183
2005-09-30,-0.008096,0.024264,0.003359,0.006494,0.022092
2005-10-03,-0.008939,0.015482,-0.010045,-0.001613,0.007015
2005-10-04,-0.020392,-0.012675,-0.003946,-0.011309,-0.024099
2005-10-05,-0.01241,-0.018045,-0.009621,-0.005719,-0.000933
2005-10-06,0.002432,-0.020464,0.013143,-0.011504,0.006566
2005-10-07,-0.005661,-0.007737,-0.00564,-0.004156,0.000767
2005-10-10,-0.005287,-0.018129,-0.007941,0.002504,-0.007476
2005-10-11,-0.002044,0.024221,-0.017153,0.005828,-0.014647
2005-10-12,-0.004506,-0.045358,0.013962,-0.006623,-0.016759
2005-10-13,0.011934,0.091168,-0.007458,0.006667,-0.011729
2005-10-14,0.003253,0.004838,-0.001734,0.01904,-0.004371
2005-10-17,-0.005675,-0.01037,-0.00579,0.005686,0.029918
2005-10-18,0.001631,-0.023017,-0.011066,-0.000808,-0.005639
2005-10-19,0.021164,0.052289,0.012957,-0.014551,0.017871
2005-10-20,-0.011957,0.021842,-0.015698,-0.004102,-0.017817
2005-10-21,-0.000403,-0.00855,0.005907,0.009885,0.121042
2005-10-24,0.012914,0.020302,0.007634,0.045677,0.025743
2005-10-25,-0.002789,-0.01215,-0.002331,0.011701,-0.004991
2005-10-26,0.0032,0.016578,-0.001168,-0.023901,0.024589
2005-10-27,-0.010358,-0.028406,-0.002924,-0.016588,-0.006696
2005-10-28,0.027364,-0.016964,0.005279,0.020884,0.014474
2005-10-31,0.006659,0.057279,0.018086,-0.00236,0.039004
2005-11-01,0.010117,-0.001563,0.001719,0.003943,0.019455
2005-11-02,0.01926,0.042609,0.008581,-0.019639,0.000791
2005-11-03,-0.000756,0.031691,-0.006807,-0.022436,0.016514
2005-11-04,0.008321,-0.011316,0.02056,0.033607,0.011608
2005-11-07,0.013128,-0.015045,-0.001119,0.0,0.011782
2005-11-08,0.001462,-0.005479,0.00056,0.000793,-0.012986
2005-11-09,-0.003309,0.003506,-0.006159,-0.008716,-0.027571
2005-11-10,0.004822,0.017801,-0.033803,0.015188,0.031518
