date,GE
1928-08-18,-0.004831
1928-08-20,0.003236
1928-08-21,0.018548
1928-08-22,0.000792
1928-08-23,-0.022152
1928-08-24,0.021036
1928-08-25,0.020602
1928-08-27,0.01941
1928-08-28,0.01904
1928-08-29,-0.001495
1928-08-30,-0.006737
1928-08-31,0.006782
1928-09-01,0.002994
1928-09-04,-0.008955
1928-09-05,0.004518
1928-09-06,-0.007496
1928-09-07,0.008308
1928-09-08,-0.002247
1928-09-10,0.0
1928-09-11,0.024024
1928-09-12,0.008798
1928-09-13,-0.008721
1928-09-14,-0.017595
1928-09-15,0.00597
1928-09-17,0.005935
1928-09-18,-0.011799
1928-09-19,0.0
1928-09-20,-0.002985
1928-09-21,-0.00524
1928-09-22,-0.006813
1928-09-24,0.017531
1928-09-25,0.000749
1928-09-26,-0.008982
1928-09-27,-0.020393
1928-09-28,0.013107
1928-09-29,0.003044
1928-10-01,-0.004552
1928-10-02,-0.015244
1928-10-03,-0.003096
1928-10-04,0.01087
1928-10-05,-0.006144
1928-10-06,-0.001546
1928-10-08,-0.009288
1928-10-09,-0.00625
1928-10-10,0.022013
1928-10-11,0.015385
1928-10-13,0.012121
1928-10-15,-0.005988
1928-10-16,0.0
1928-10-17,0.006024
1928-10-18,0.005988
1928-10-19,0.036458
1928-10-20,-0.01364
1928-10-22,-0.016012
1928-10-23,0.007396
1928-10-24,-0.001468
1928-10-25,0.002941
1928-10-26,-0.020528
1928-10-27,0.02021
1928-10-29,-0.00807
1928-10-30,-0.011834
1928-10-31,-0.011976
1928-11-01,0.018182
1928-11-02,-0.005952
1928-11-03,0.004491
1928-11-05,0.008942
1928-11-07,0.006647
1928-11-08,0.019809
1928-11-09,0.048921
1928-11-10,0.009602
1928-11-12,-0.018342
1928-11-13,0.008305
1928-11-14,-0.017159
1928-11-15,0.013268
1928-11-16,0.022054
1928-11-17,-0.010115
1928-11-19,0.001362
1928-11-20,0.014286
1928-11-21,-0.007378
1928-11-22,0.002027
1928-11-23,0.008766
1928-11-26,0.020054
1928-11-27,-0.005242
1928-11-28,0.037549
1928-11-30,0.017143
1928-12-01,-0.01623
1928-12-03,-0.015863
1928-12-04,-0.009026
1928-12-05,-0.000651
1928-12-06,-0.057292
1928-12-07,-0.024171
1928-12-08,0.007785
1928-12-10,0.022472
1928-12-11,0.019231
1928-12-12,-0.013477
1928-12-13,-0.009563
1928-12-14,-0.001379
1928-12-15,0.0
1928-12-17,-0.001381
1928-12-18,0.013831
1928-12-19,0.017735
1928-12-20,0.014905
1928-12-21,0.030708
1928-12-22,0.009067
1928-12-24,0.016046
1928-12-26,0.043588
1928-12-27,0.015133
1928-12-28,0.041145
1928-12-29,0.002864
1928-12-31,0.011993
1929-01-02,0.107223
1929-01-03,-0.040775
1929-01-04,0.020191
1929-01-05,-0.029167
1929-01-07,-0.021459
1929-01-08,0.048246
1929-01-09,-0.001046
1929-01-10,-0.001047
1929-01-11,-0.008386
1929-01-12,-0.002643
1929-01-14,-0.010069
1929-01-15,-0.00803
1929-01-16,0.019968
1929-01-17,0.015344
1929-01-18,-0.016154
1929-01-19,0.003708
1929-01-21,-0.00686
1929-01-22,0.001063
1929-01-23,0.024947
1929-01-24,-0.013465
1929-01-25,0.062467
1929-01-26,-0.008893
1929-01-28,-0.008973
1929-01-29,-0.004024
1929-01-30,0.04697
1929-01-31,-0.008201
1929-02-01,-0.003891
1929-02-02,-0.001953
1929-02-04,-0.017613
1929-02-05,0.005976
1929-02-06,-0.017822
1929-02-07,-0.050403
1929-02-08,-0.010616
1929-02-11,0.032189
1929-02-13,-0.019231
1929-02-14,-0.00212
1929-02-15,-0.031333
1929-02-16,-0.005482
1929-02-18,0.012128
1929-02-19,0.002179
1929-02-20,0.008696
1929-02-21,0.034483
1929-02-25,0.0
1929-02-26,0.0
1929-02-27,0.010417
1929-02-28,0.012371
1929-03-01,0.014257
1929-03-02,-0.01004
1929-03-04,-0.034483
1929-03-05,-0.004202
1929-03-06,-0.012658
1929-03-07,0.006944
1929-03-08,0.007427
1929-03-09,-0.00158
1929-03-11,-0.024789
1929-03-12,0.008148
1929-03-13,0.002155
1929-03-14,0.023656
1929-03-15,0.010504
1929-03-16,0.00104
1929-03-18,-0.009346
1929-03-19,-0.009434
1929-03-20,-0.008995
1929-03-21,-0.009076
1929-03-22,0.0
1929-03-23,-0.018858
1929-03-25,-0.010434
1929-03-26,0.014428
1929-03-27,0.032823
1929-03-28,0.008475
1929-04-01,-0.028361
1929-04-02,-0.001081
1929-04-03,-0.01461
1929-04-04,0.029105
1929-04-05,-0.018143
1929-04-06,0.0
1929-04-08,-0.007609
1929-04-09,-0.001095
1929-04-10,0.013158
1929-04-11,0.014069
1929-04-12,0.001067
1929-04-13,-0.002132
1929-04-15,-0.004274
1929-04-16,0.004292
1929-04-17,0.025641
1929-04-18,0.004167
1929-04-19,-0.004149
1929-04-20,0.004167
1929-04-22,0.012448
1929-04-23,-0.011271
1929-04-24,-0.005181
1929-04-25,-0.002083
1929-04-26,-0.001044
1929-04-27,0.003135
1929-04-29,-0.005208
1929-04-30,0.02199
1929-05-01,0.002049
1929-05-02,0.038855
1929-05-03,0.017717
1929-05-04,-0.010638
1929-05-06,0.006843
1929-05-07,-0.023301
1929-05-08,0.039761
1929-05-09,-0.00956
1929-05-10,0.026062
1929-05-11,-0.006585
1929-05-13,-0.007576
1929-05-14,0.057252
1929-05-15,0.012635
1929-05-16,0.001783
1929-05-17,0.030249
1929-05-18,0.008636
1929-05-20,-0.068493
1929-05-21,0.033088
1929-05-22,-0.042705
1929-05-23,0.034387
1929-05-24,-0.017071
1929-05-25,0.002742
1929-05-27,-0.048314
1929-05-28,0.024904
1929-05-29,-0.006542
1929-05-31,0.005644
1929-06-01,0.000935
1929-06-03,0.024299
1929-06-04,0.009124
1929-06-05,-0.007233
1929-06-06,0.006375
1929-06-07,0.017195
1929-06-08,-0.010676
1929-06-10,0.001799
1929-06-11,0.001795
1929-06-12,0.032258
1929-06-13,0.034722
1929-06-14,-0.003356
1929-06-15,-0.006734
1929-06-17,0.033898
1929-06-18,0.0
1929-06-19,-0.009836
1929-06-20,0.003311
1929-06-21,0.014852
1929-06-22,-0.004092
1929-06-24,-0.013969
1929-06-25,0.03
1929-06-26,0.013754
1929-06-27,0.006784
1929-06-28,0.027348
1929-06-29,0.002315
1929-07-01,0.019246
1929-07-02,0.055891
1929-07-03,0.007868
1929-07-05,0.004968
1929-07-06,-0.004237
1929-07-08,-0.009929
1929-07-09,-0.008596
1929-07-10,-0.006503
1929-07-11,0.002909
1929-07-12,0.007977
1929-07-13,-0.000719
1929-07-15,-0.012239
1929-07-16,0.017493
1929-07-17,-0.010029
1929-07-18,-0.001447
1929-07-19,0.009783
1929-07-20,0.008611
1929-07-22,0.025258
1929-07-23,0.009022
1929-07-24,0.001376
1929-07-25,-0.002747
1929-07-26,0.032369
1929-07-27,-0.016344
1929-07-29,-0.01865
1929-07-30,0.015895
1929-07-31,0.027211
1929-08-01,0.011921
1929-08-02,0.031414
1929-08-03,-0.000635
1929-08-05,-0.015873
1929-08-06,-0.006452
